"feature id","feature label","shid","geoid","Commute Transportation by Motorcycle (2020-2024)","Commute Transportation by Taxi or Ride Hailing Service (2020-2024)","Commute Transportation by Bicycle (2020-2024)","No Commute / Work From Home (2020-2024)","Commute Transportation by Other Transit (2020-2024)","Commute Transportation by Walk (2020-2024)","Commute Transportation by Public Transit (2020-2024)","Commute Transportation by Drive Carpool (2020-2024)","Commute Transportation by Drive Alone (2020-2024)","Monthly Electric Cost Less Than $50 (2020-2024)","Monthly Electric Cost $50 to $99 (2020-2024)","Monthly Electric Cost $100 to $149 (2020-2024)","Monthly Electric Cost $150 to $199 (2020-2024)","Monthly Electric Cost $200 to $249 (2020-2024)","Monthly Electric Cost $250 or More (2020-2024)"
"publicpolygonfeature:5:42997","ZIP Code 32216","country:us/state:fl/zip:32216","32216","19","26","141","3853","381","299","67","1581","14441","450","4039","4492","2895","2404","3940"
"publicpolygonfeature:5:43001","ZIP Code 32217","country:us/state:fl/zip:32217","32217","10","25","21","2050","296","23","199","537","7164","150","1374","1915","1681","1102","2079"
"publicpolygonfeature:5:43007","ZIP Code 32223","country:us/state:fl/zip:32223","32223","53","81","0","2695","162","110","56","861","8359","128","841","1311","2109","1972","3957"
"publicpolygonfeature:5:43011","ZIP Code 32254","country:us/state:fl/zip:32254","32254","0","0","12","241","95","259","189","642","3831","147","300","875","1037","1091","1624"
"publicpolygonfeature:5:43013","ZIP Code 32256","country:us/state:fl/zip:32256","32256","49","354","61","6272","456","303","50","1907","24688","1165","8323","6373","4587","2487","4207"
"publicpolygonfeature:5:43015","ZIP Code 32257","country:us/state:fl/zip:32257","32257","51","95","77","4175","260","251","41","2390","14838","290","2825","4066","3313","2656","3998"
"publicpolygonfeature:5:43016","ZIP Code 32258","country:us/state:fl/zip:32258","32258","0","0","0","4894","160","268","0","995","15448","655","1819","3858","3693","1818","3847"
"publicpolygonfeature:5:43041","ZIP Code 32277","country:us/state:fl/zip:32277","32277","27","0","92","2234","512","279","209","3033","10303","302","1739","2097","2291","2354","4188"
"publicpolygonfeature:5:43262","ZIP Code 32218","country:us/state:fl/zip:32218","32218","49","254","51","4736","532","117","345","3306","24471","278","2096","4575","4804","4418","10021"
"publicpolygonfeature:5:43263","ZIP Code 32219","country:us/state:fl/zip:32219","32219","0","10","10","780","0","38","1","553","4924","68","212","763","1010","674","2710"
"publicpolygonfeature:5:43264","ZIP Code 32220","country:us/state:fl/zip:32220","32220","0","0","0","768","44","62","67","462","4868","15","211","549","877","1117","1919"
"publicpolygonfeature:5:43265","ZIP Code 32221","country:us/state:fl/zip:32221","32221","0","0","91","2669","174","77","126","1267","11427","24","525","1694","1866","2176","4700"
"publicpolygonfeature:5:43266","ZIP Code 32222","country:us/state:fl/zip:32222","32222","60","0","24","1598","254","0","133","734","7146","44","679","1521","1024","1615","2336"
"publicpolygonfeature:5:43267","ZIP Code 32224","country:us/state:fl/zip:32224","32224","84","0","30","3512","281","567","140","1330","15350","406","2475","2816","2560","2117","5195"
"publicpolygonfeature:5:43268","ZIP Code 32225","country:us/state:fl/zip:32225","32225","83","20","39","4406","139","176","0","2186","21324","239","2901","3478","3762","3006","8252"
"publicpolygonfeature:5:43269","ZIP Code 32226","country:us/state:fl/zip:32226","32226","0","69","0","1455","207","92","2","1054","7222","193","390","895","1349","1395","3209"
"publicpolygonfeature:5:43270","ZIP Code 32227","country:us/state:fl/zip:32227","32227","5","0","48","57","11","308","0","92","1387","7","0","23","44","22","0"
"publicpolygonfeature:5:43271","ZIP Code 32228","country:us/state:fl/zip:32228","32228","0","0","0","0","0","15","0","4","203","0","0","0","0","0","0"
"publicpolygonfeature:5:43272","ZIP Code 32233","country:us/state:fl/zip:32233","32233","11","0","100","1976","43","225","30","896","8503","133","1883","2392","1745","1374","1601"
"publicpolygonfeature:5:43273","ZIP Code 32234","country:us/state:fl/zip:32234","32234","0","0","43","632","11","12","0","182","3638","0","246","487","673","607","1233"
"publicpolygonfeature:5:43274","ZIP Code 32244","country:us/state:fl/zip:32244","32244","133","219","71","3948","285","327","188","3961","22818","388","2917","4182","5881","3592","7951"
"publicpolygonfeature:5:43275","ZIP Code 32246","country:us/state:fl/zip:32246","32246","6","159","10","5897","200","170","30","3061","24332","449","4474","5845","4109","2819","6931"
"publicpolygonfeature:5:43276","ZIP Code 32250","country:us/state:fl/zip:32250","32250","12","0","389","4080","128","179","12","925","10580","157","1873","2106","2222","1863","4154"
"publicpolygonfeature:5:6684281","ZIP Code 32214","country:us/state:fl/zip:32214","32214","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"publicpolygonfeature:5:6703033","ZIP Code 32203","country:us/state:fl/zip:32203","32203","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"publicpolygonfeature:4:5452","Jacksonville, FL","country:us/state:fl/place:jacksonville_city","1235000","1007","1894","1708","74659","7054","6091","4729","42928","340461","7863","55080","72432","71819","59140","115532"
